Tweet,Message/tweets,match,polarity
86,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE,effective,Positive
87,Looks like 420Vancouver is postponed by the province,like,Positive
88,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned,,Neutral
89,soggyburrito willshelling juliarburnham pocket this ifwhen UBC campus locks down It is being offered in Canada as well,well,Positive
90,litecoinbull My parents are in California until the middle of April because thats where they spend the winter Theyre from Canada Should they come back now And what should I tell them because they will not believe alternative media,,Neutral
91,RT Double Whammy Canada,,Neutral
92,Calgary Flames Ken King has died,died,Negative
93,meditateWILL cnnbrk Where I live we have already canceled events of over 250 people and about to close schools And some of Canada has We arent playing games,,Neutral
94,RT Ottawa intelligence committee warns of brazen threats from China and Russia to Canadas national security and democracy,intelligence,Positive
95,I dont want to get to imagine canada as I,,Neutral
96,RT Hockey Canada has cancelled all sanctioned events effective Friday March 13 2020,effective,Positive
97,thailand singapore italy france canada idk i want to see everything but those are my main i think,,Neutral
98,RT We are strongly encouraging employees across the US Canada as well as EMEA to work remotely including all European countries the UK Israel amp Morocco This is decided based on local guidance amp to protect employees their families amp our communities,encouraging,Positive
99,Someone just got evicted from Big Brother Canada and they have to walk out to an empty stage and a global pandemic,,Neutral
100,Quercetin amp zinc essentially Stockup and utilize natural strategies for bolstering our immune function CoronavirusPandemic,,Neutral
101,PattyHajdu CPHOCanada GovCanHealth You have done nothing for 8 weeks Now you say between 3070 of Canadian population will be infected Even at 30 that is enough to launch a class action lawsuit against your willful blindness and ignorance,infected,Negative
102,RT Jungkooks new fanbase in Canada Please follow them JungkookCanada JUNGKOOK BTStwt BTS BTSJK,,Neutral
103,BREAKING All Hockey Canada sanctioned events have been postponed,,Neutral
104,RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d,top,Positive
105,RT Some good news to cheer you upKorea and China are recovering Vietnam had their cases under control until British,good,Positive
106,RT According to Harvard University below are the most difficult courses in the worldWhat position is yoursMine is,difficult,Negative
107,This story has been updated and will continue to be DenverSchools is holding a 7 pm press conference to share i,,Neutral
108,RT My spouse pointed out when I wondered whether Zoom could handle every university class in the country that I coul,,Neutral
